metabolite,Mann-Whitney U1,Mann-Whitney U2,rho,p-value,adj p-value,tf,represented metabolites,name,compartment,formula,id,bigg_id,MetaNetX id,KEGG id,SEED id,CHEBI id,KEGG pathways,KEGG modules
cu2[c],5308.0,2708.0,0.6621756487025948,0.05752573773877467,0.768329358574089,Rv3197A,set(),Copper [cytoplasm],c,Cu,cu2[c],cu2_c,MNXM632,C00070,cpd00058,20882;23380;29036;49550,ABC transporters;Two-component system;Mineral absorption;Alzheimer disease;Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases;Chemical carcinogenesis - reactive oxygen species,
k[c],5353.0,2663.0,0.6677894211576846,0.05091439353157603,0.768329358574089,Rv3197A,set(),Potassium [cytoplasm],c,K,k[c],k_c,MNXM95,C00238,cpd00205,26219;29103;49685;8345,Two-component system;cGMP-PKG signaling pathway;cAMP signaling pathway;Plant hormone signal transduction;Cardiac muscle contraction;Adrenergic signaling in cardiomyocytes;Vascular smooth muscle contraction;NOD-like receptor signaling pathway;Circadian entrainment;Retrograde endocannabinoid signaling;Glutamatergic synapse;Cholinergic synapse;Serotonergic synapse;GABAergic synapse;Dopaminergic synapse;Olfactory transduction;Taste transduction;Phototransduction;Insulin secretion;Estrogen signaling pathway;Thyroid hormone synthesis;Thyroid hormone signaling pathway;Oxytocin signaling pathway;Renin secretion;Aldosterone synthesis and secretion;Cortisol synthesis and secretion;GnRH secretion;Type II diabetes mellitus;Cushing syndrome;Aldosterone-regulated sodium reabsorption;Endocrine and other factor-regulated calcium reabsorption;Proximal tubule bicarbonate reclamation;Collecting duct acid secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Carbohydrate digestion and absorption;Protein digestion and absorption;Bile secretion;Mineral absorption;Huntington disease;Spinocerebellar ataxia;Morphine addiction;Vibrio cholerae infection;Shigellosis;Pertussis;Human T-cell leukemia virus 1 infection,
glu5p[c],3587.0,4429.0,0.44748003992015967,0.6959898061543368,0.8438876399621333,Rv3197A,set(),L-Glutamate 5-phosphate [cytoplasm],c,C5H8NO7P,glu5p[c],glu5p_c,MNXM1280,C03287,cpd02097,13108;13113;17798;21312;58274;6230,Arginine and proline metabolism;Carbapenem biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,"Proline biosynthesis, glutamate => proline"
alac__S[c],6151.0,1865.0,0.7673403193612774,0.004565687797308011,0.22143585816943853,Rv3197A,set(),(S)-2-Acetolactate [cytoplasm],c,C5H7O4,alac__S[c],alac__S_c,MNXM114079,C06010,cpd19047,11033;18409;18731;374;58476,"Valine, leucine and isoleucine biosynthesis;Butanoate metabolism;C5-Branched dibasic acid metabolism;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids","Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"
4abut[c],4636.0,8325.0,0.35768844996528043,0.9612684554698243,0.9747977546559773,Rv3208,set(),4-Aminobutanoate [cytoplasm],c,C4H9NO2,4abut[c],4abut_c,MNXM192,C00334,cpd00281,11961;16865;1786;193777;20317;20318;30566;40483;59888,"Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;beta-Alanine metabolism;Butanoate metabolism;Nicotinate and nicotinamide metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Quorum sensing;cAMP signaling pathway;Neuroactive ligand-receptor interaction;Neuroactive ligand signaling;Synaptic vesicle cycle;Retrograde endocannabinoid signaling;GABAergic synapse;Taste transduction;Estrogen signaling pathway;GnRH secretion;Morphine addiction;Nicotine addiction","GABA (gamma-Aminobutyrate) shunt;GABA biosynthesis, eukaryotes, putrescine => GABA;GABA biosynthesis, prokaryotes, putrescine => GABA"
h2o[c],6179.0,6782.0,0.4767379060257696,0.6137105563355878,0.8389070440347091,Rv3208,set(),H2O H2O [cytoplasm],c,H2O,h2o[c],h2o_c,MNXM2,C00001;C01328,cpd00001;cpd15275;cpd27222,10743;13352;13365;13419;15377;16234;27313;29356;29412;30490;33813;42043;42857;43228;44292;44641;44701;44819;5585;5594,Oxidative phosphorylation;Photosynthesis;Carbon fixation by Calvin cycle;Metabolic pathways;Thyroid hormone synthesis;Renin secretion;Vasopressin-regulated water reabsorption;Proximal tubule bicarbonate reclamation;Collecting duct acid secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases;Chemical carcinogenesis - reactive oxygen species;Diabetic cardiomyopathy;,"Cytochrome bd ubiquinol oxidase;Cytochrome c oxidase;Cytochrome c oxidase, prokaryotes;Cytochrome c oxidase, cbb3-type;F-type ATPase, prokaryotes and chloroplasts;F-type ATPase, eukaryotes;V/A-type ATPase, prokaryotes;V-type ATPase, eukaryotes;Photosystem II;Cytochrome aa3-600 menaquinol oxidase;Cytochrome o ubiquinol oxidase;"
ptrc[c],5820.0,7141.0,0.44903942597021834,0.7364873635855842,0.8476661386460537,Rv3208,"{'orn[c]', 'orn[e]'}",Putrescine [cytoplasm],c,C4H14N2,ptrc[c],ptrc_c,MNXM118,C00134,cpd00118;cpd12215,14972;17148;26405;326268;45092;8650,"Arginine and proline metabolism;D-Amino acid metabolism;Glutathione metabolism;Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of various siderophores;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Efferocytosis;Protein digestion and absorption","Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine;Polyamine biosynthesis, arginine => ornithine => putrescine;GABA biosynthesis, eukaryotes, putrescine => GABA;GABA biosynthesis, prokaryotes, putrescine => GABA;Putrebactin biosynthesis, putrescine => putrebactin;Alcaligin biosynthesis, putrescine => alcaligin"
nh4[c],8314.0,4647.0,0.6414628500887277,0.03970533535928092,0.8389070440347091,Rv3208,{'nh4oh[c]'},Ammonium [cytoplasm],c,H4N,nh4[c],nh4_c,MNXM15,C00014;C01342,cpd00013;cpd19013,13405;13406;13407;135980;13771;16134;22533;22534;28938;29337;29340;44269;44284;44404;49783;7434;7435,"Arginine biosynthesis;Purine metabolism;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Cyanoamino acid metabolism;Glyoxylate and dicarboxylate metabolism;Lipoic acid metabolism;Nitrogen metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Nitrogen cycle;Proximal tubule bicarbonate reclamation;Collecting duct acid secretion;Protein digestion and absorption;Vibrio cholerae infection;Epithelial cell signaling in Helicobacter pylori infection;Epithelial cell signaling in Helicobacter pylori infection","Urea cycle;Nitrogen fixation, nitrogen => ammonia;Nitrification, ammonia => nitrite;Dissimilatory nitrate reduction, nitrate => ammonia;Assimilatory nitrate reduction, nitrate => ammonia;Photorespiration;Glycine cleavage system;Complete nitrification, comammox, ammonia => nitrite => nitrate;Anammox, nitrite + ammonia => nitrogen;Ornithine-ammonia cycle;"
co2[c],6470.0,6491.0,0.49918987732428055,0.5041994316812114,0.8389070440347091,Rv3208,set(),CO2 CO2 [cytoplasm],c,CO2,co2[c],co2_c,MNXM13,C00011,cpd00011,13282;13283;13284;13285;16526;23011;3283;48829,"Arginine biosynthesis;Purine metabolism;Glycine, serine and threonine metabolism;Chlorocyclohexane and chlorobenzene degradation;Chloroalkane and chloroalkene degradation;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Carbon fixation by Calvin cycle;Other carbon fixation pathways;Lipoic acid metabolism;Atrazine degradation;Nitrogen metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Proximal tubule bicarbonate reclamation;Collecting duct acid secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Carbohydrate digestion and absorption;Protein digestion and absorption;Bile secretion","Reductive pentose phosphate cycle (Calvin cycle);CAM (Crassulacean acid metabolism), dark;CAM (Crassulacean acid metabolism), light;C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type;C4-dicarboxylic acid cycle, NAD - malic enzyme type;C4-dicarboxylic acid cycle, NADP - malic enzyme type;Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway);Acetyl-CoA pathway, CO2 => acetyl-CoA;Methanogenesis, CO2 => methane;Glycine cleavage system;Ornithine-ammonia cycle"
asp__L[c],6720.0,6241.0,0.5184785124604583,0.40954541368352493,0.8389070440347091,Rv3208,{'iasp[c]'},L-Aspartate [cytoplasm],c,C4H6NO4,asp__L[c],asp__L_c,MNXM42,C00049;C16433,cpd00041;cpd19181,13085;132943;17053;21244;21247;22659;22660;29991;29992;29993;29995;35391;40853;40900;40913;40942;6193,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Lysine biosynthesis;Histidine metabolism;beta-Alanine metabolism;Cyanoamino acid metabolism;D-Amino acid metabolism;Glyoxylate and dicarboxylate metabolism;Carbon fixation by Calvin cycle;Nicotinate and nicotinamide metabolism;Pantothenate and CoA biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of various plant secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;ABC transporters;Two-component system;Bacterial chemotaxis;Neuroactive ligand-receptor interaction;Protein digestion and absorption;Central carbon metabolism in cancer;","Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine;Methionine biosynthesis, aspartate => homoserine => methionine;Threonine biosynthesis, aspartate => homoserine => threonine;Urea cycle;Ectoine biosynthesis, aspartate => ectoine;NAD biosynthesis, aspartate => quinolinate => NAD;Pantothenate biosynthesis, valine/L-aspartate => pantothenate;C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type;C4-dicarboxylic acid cycle, NAD - malic enzyme type;Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine;Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine;Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine;Arginine biosynthesis, ornithine => arginine;Arginine biosynthesis, glutamate => acetylcitrulline => arginine;Ectoine degradation, ectoine => aspartate;Cremeomycin biosynthesis, aspartate/3,4-AHBA => cremeomycin;"
asn__L[c],5917.0,7044.0,0.4565234164030553,0.7053076627986163,0.8441784893958517,Rv3208,{'asn__L[e]'},L-Asparagine [cytoplasm],c,C4H8N2O3,asn__L[c],asn__L_c,MNXM147,C00152;C16438,cpd00132;cpd15142,13083;17196;21242;22653;32650;32651;32660;32661;40902;58048;6191,"Alanine, aspartate and glutamate metabolism;Cyanoamino acid metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer;",;
gln__L[c],7426.0,5535.0,0.5729496180850243,0.1829098574948393,0.8389070440347091,Rv3208,set(),L-Glutamine [cytoplasm],c,C5H10N2O3,gln__L[c],gln__L_c,MNXM37,C00064;C00303,cpd00053;cpd00253,13110;18050;21308;24316;28300;32665;32666;32678;32679;42812;42814;42899;42943;5432;58359;6227,"Arginine biosynthesis;Purine metabolism;Pyrimidine metabolism;Alanine, aspartate and glutamate metabolism;D-Amino acid metabolism;Glyoxylate and dicarboxylate metabolism;Vitamin B6 metabolism;Nitrogen metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Nucleotide metabolism;Biosynthesis of cofactors;ABC transporters;Two-component system;Cornified envelope formation;Glutamatergic synapse;GABAergic synapse;Proximal tubule bicarbonate reclamation;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer;","De novo purine biosynthesis, PRPP + glutamine => IMP;De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP;Pyridoxal phosphate biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P;Ornithine-ammonia cycle;"
ala_B[c],6083.0,6878.0,0.46933107013347736,0.6483508249284877,0.8389070440347091,Rv3208,{'ala_B[e]'},Beta-Alanine [cytoplasm],c,C3H7NO2,ala_B[c],ala_B_c,MNXM144,C00099,cpd00085,10343;12389;16958;22821;41050;57966;63070,Pyrimidine metabolism;beta-Alanine metabolism;Propanoate metabolism;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Neuroactive ligand-receptor interaction;Protein digestion and absorption,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate;Pantothenate biosynthesis, valine/L-aspartate => pantothenate;Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate"
pi[c],6585.0,6376.0,0.5080626494869223,0.46036099775759737,0.8389070440347091,Rv3208,"{'pppi[c]', 'ppi[c]'}",Phosphate [cytoplasm],c,HO4P,pi[c],pi_c,MNXM9,C00009,cpd00009;cpd27787,14791;18367;26020;26078;29137;29139;35780;39739;39745;43470;43474;45024;7793,"Oxidative phosphorylation;Photosynthesis;ABC transporters;Two-component system;Quorum sensing;Cell cycle - yeast;Parathyroid hormone synthesis, secretion and action;Mineral absorption;Parkinson disease;Pathways of neurodegeneration - multiple diseases","F-type ATPase, prokaryotes and chloroplasts;F-type ATPase, eukaryotes;V/A-type ATPase, prokaryotes;V-type ATPase, eukaryotes"
glu__D[c],7154.0,5807.0,0.5519635830568629,0.25846680532096483,0.8389070440347091,Rv3208,set(),D-Glutamate [cytoplasm],c,C5H8NO4,glu__D[c],glu__D_c,MNXM331,C00217,cpd00186,12979;15966;21022;21023;29986;29989;4183,D-Amino acid metabolism;Metabolic pathways,
1pyr5c[c],6780.0,6181.0,0.5231077848931409,0.387388373411676,0.8389070440347091,Rv3208,{'pro__L[c]'},1-Pyrroline-5-carboxylate [cytoplasm],c,C5H6NO2,1pyr5c[c],1pyr5c_c,MNXM1617,C03912;C04322,cpd02431;cpd02651;cpd29655,11297;11689;12409;1372;15893;17388;18727;19095;19873;26458;29066;371,"Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;Carbapenem biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;","Proline biosynthesis, glutamate => proline;Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate;Proline degradation, proline => glutamate;Proline metabolism;"
glx[c],6654.0,6307.0,0.5133863127845074,0.4342536429243686,0.8389070440347091,Rv3208,"{'oxa[c]', 'hoa[c]', 'hla[c]'}",Glyoxylate [cytoplasm],c,C2H1O3,glx[c],glx_c,MNXM69,C00048,cpd00040,14368;16891;24420;24421;35977;36655;42767;5509,"Purine metabolism;Caffeine metabolism;Glycine, serine and threonine metabolism;Arginine and proline metabolism;Chloroalkane and chloroalkene degradation;Glyoxylate and dicarboxylate metabolism;C5-Branched dibasic acid metabolism;Methane metabolism;Other carbon fixation pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism","Glyoxylate cycle;Formaldehyde assimilation, serine pathway;Ethylmalonyl pathway;3-Hydroxypropionate bi-cycle;Photorespiration;Methylaspartate cycle"
acgam6p[c],7030.0,5931.0,0.5423964200293188,0.29966179790975517,0.8389070440347091,Rv3208,{'acgam1p[c]'},N-Acetyl-D-glucosamine 6-phosphate [cytoplasm],c,C8H14NO9P,acgam6p[c],acgam6p_c,MNXM63556,C00357,cpd00293,12456;12564;15784;21521;39577;49353;49359;57513;7127,Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of nucleotide sugars;Phosphotransferase system (PTS),"UDP-GlcNAc biosynthesis, eukaryotes, Fru-6P => UDP-GlcNAc;UDP-GlcNAc biosynthesis, GlcNAc => UDP-GlcNAc"
gal[c],6593.0,6368.0,0.50867988581128,0.45732308499320795,0.8389070440347091,Rv3208,{'gal1p[c]'},D-Galactose [cytoplasm],c,C6H12O6,gal[c],gal_c,MNXM390,C00124;C00984,cpd00108;cpd00724,10231;12936;22373;28061;4139;42741,Galactose metabolism;Metabolic pathways;Bacterial chemotaxis;Phosphotransferase system (PTS);Carbohydrate digestion and absorption;Mineral absorption;Galactose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of nucleotide sugars,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P;UDP-Gal biosynthesis, Gal => UDP-Gal;Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P"
glc__D[c],7412.0,5549.0,0.5718694545173983,0.18648232348402022,0.8389070440347091,Rv3208,"{'ctp[c]', '14glucan[c]', 'dudp[c]', 'gam1p[c]', 'gmhep7p[c]', 'udpgalfur[c]', 'mndn[c]', 'tres[c]', 'phbz2[c]', 'dutp[c]', 'dcmp[c]', 'cmp[c]', 'malt6p[c]', 'phdca[e]', 'mi3p__D[c]', 'phbz1[c]', 'dtmp[c]', 'ump[c]', 'dtdp4d6dm[c]', 'phbz1g[c]', 'utp[c]', 'tre6p[c]', 'mi1p__D[c]', 'glycogen[c]', 'cdp[c]', 'udp[c]', 'udpgal[c]', '4c2me[c]', 'db4p[c]', 'inost[c]', 'dtdp[c]', 'phdca[c]', 'malt1p[c]', 'dump[c]', 'dcdp[c]', 'g6p[c]', 'dtdprmn[c]', '2p4c2me[c]', 'g1p[c]', 'pdx5p[c]', 'tre[c]', 'gam6p[c]', 'man6p[c]', 'dtdp4d6dg[c]', '6pgl[c]', 'udpglcur[c]', 'pac[e]', 'rbzn[c]', 'f6p[c]', 'dtdpglu[c]', 'malt[c]', 'pydx5p[c]', 'ru5p__D[c]', 'udpg[c]', 'xu5p__D[c]', 'gmhep17bp[c]', 'man1p[c]', 'dctp[c]', 'dttp[c]', '6pgc[c]', 'dhna[c]', 'man[c]'}",D-Glucose [cytoplasm],c,C6H12O6,glc__D[c],glc__D_c,MNXM41,C00031,cpd00027;cpd26821,12965;17634;20999;4167,"Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Galactose metabolism;Mycolic acid biosynthesis;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Streptomycin biosynthesis;Neomycin, kanamycin and gentamicin biosynthesis;Sulfoquinovose metabolism;Indole alkaloid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Two-component system;Phosphotransferase system (PTS);HIF-1 signaling pathway;FoxO signaling pathway;Meiosis - yeast;Efferocytosis;AMPK signaling pathway;Taste transduction;Insulin signaling pathway;Insulin secretion;Prolactin signaling pathway;Glucagon signaling pathway;Type II diabetes mellitus;Insulin resistance;Non-alcoholic fatty liver disease;AGE-RAGE signaling pathway in diabetic complications;Carbohydrate digestion and absorption;Bile secretion;Mineral absorption;Biofilm formation - Vibrio cholerae;Central carbon metabolism in cancer;Diabetic cardiomyopathy","Mycolic acid biosynthesis, meromycolic acid + alpha-carboxyacyl-CoA + trehalose => TMM => TDM/mAGP/GMM;Sulfoquinovose degradation, sulfoquinovose => glucose"
2mop[c],7145.0,5816.0,0.5512691921919605,0.26257583798290096,0.8389070440347091,Rv3208,{'3hmp[c]'},2-Methyl-3-oxopropanoate [cytoplasm],c,C4H5O3,2mop[c],2mop_c,MNXM305,C00349,cpd00287;cpd23282,11609;11610;1193;16256;19682;57700,"Valine, leucine and isoleucine degradation",
dxyl5p[c],7410.0,5551.0,0.571715145436309,0.18699614171570195,0.8389070440347091,Rv3208,set(),1-deoxy-D-xylulose 5-phosphate [cytoplasm],c,C5H9O7P,dxyl5p[c],dxyl5p_c,MNXM622,C11437,cpd08289,11254;16493;57792;622,Cysteine and methionine metabolism;Thiamine metabolism;Terpenoid backbone biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,"C5 isoprenoid biosynthesis, non-mevalonate pathway;Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP;Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP"
glyc__R[c],6033.0,6928.0,0.4654733431062418,0.66593651949147,0.8389070440347091,Rv3208,set(),(R)-Glycerate [cytoplasm],c,C3H5O4,glyc__R[c],glyc__R_c,MNXM189,C00258,cpd00223,10999;12985;16659;21027;21030;24348;24349;32398;33508;33846;33871;4187;41990,"Pentose phosphate pathway;Glycine, serine and threonine metabolism;Glycerolipid metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism","Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate;Formaldehyde assimilation, serine pathway;Photorespiration"
ala__D[c],6980.0,5981.0,0.5385386930020831,0.31649407451820305,0.8389070440347091,Rv3208,"{'alaala[c]', 'h2o2[c]', 'ala__L[c]', 'ala__D[e]', 'ala__L[e]', 'oh1[c]'}",D-Alanine [cytoplasm],c,C3H7NO2,ala__D[c],ala__D_c,MNXM156,C00133,cpd00117,10840;12899;15570;20893;32435;32436;4087;41756;41798;41848;41877;57416,D-Amino acid metabolism;Peptidoglycan biosynthesis;Teichoic acid biosynthesis;Metabolic pathways;Vancomycin resistance;Cationic antimicrobial peptide (CAMP) resistance;Taste transduction,
ragund[c],6104.0,6857.0,0.4709513154849163,0.6408663923356601,0.8389070440347091,Rv3208,"{'galfragund[c]', 'agalfragund[c]', 'arabinanagalfragund[c]', 'unaga[c]'}",Rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate [cytoplasm],c,C69H113N1O16P2,ragund[c],ragund_c,MNXM80754,,cpd15562,,,
acglu[c],7781.0,5180.0,0.6003394799783968,0.10673978199146533,0.8389070440347091,Rv3208,set(),N-Acetyl-L-glutamate [cytoplasm],c,C7H9NO5,acglu[c],acglu_c,MNXM730,C00624,cpd00477,12575;17533;21549;21552;44335;44337;64040;7150;87274,Arginine biosynthesis;D-Amino acid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,"Ornithine biosynthesis, glutamate => ornithine;Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
acg5sa[c],5820.0,7141.0,0.44903942597021834,0.7364873689996259,0.8476661386460537,Rv3208,"{'acorn[c]', 'acg5p[c]'}",N-Acetyl-L-glutamate 5-semialdehyde [cytoplasm],c,C7H10NO4,acg5sa[c],acg5sa_c,MNXM1062,C01250,cpd00918,11493;12461;12577;16319;21551;29123;7152,Arginine biosynthesis;Arginine and proline metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,"Ornithine biosynthesis, glutamate => ornithine;Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
sucorn[c],6070.0,6891.0,0.46832806110639613,0.6529556105855808,0.8389070440347091,Rv3208,"{'agm[c]', 'arg__L[c]', 'argsuc[c]', 'sucarg[c]', 'sucglu[c]', 'arg__L[e]', 'sucgsa[c]', 'citr__L[c]'}",N2-Succinyl-L-ornithine [cytoplasm],c,C9H15N2O5,sucorn[c],sucorn_c,MNXM1152,C03415,cpd02160,21822;27574;45896;58514;7375,Arginine and proline metabolism;Metabolic pathways,"Arginine succinyltransferase pathway, arginine => glutamate"
co[c],5653.0,7308.0,0.4361546176992516,0.785926507613729,0.8663053549833148,Rv3208,{'co[e]'},Carbon monoxide [cytoplasm],c,CO,co[c],co_c,MNXM10881,C00237,cpd00204,13281;17245;23013;3282;41526;58072,Chloroalkane and chloroalkene degradation;Methane metabolism;Other carbon fixation pathways;Metabolic pathways;Microbial metabolism in diverse environments;Carbon metabolism;Two-component system,"Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway);Acetyl-CoA pathway, CO2 => acetyl-CoA"
icit[c],6907.0,6054.0,0.5329064115423192,0.3417591420311806,0.8389070440347091,Rv3208,set(),Isocitrate [cytoplasm],c,C6H5O7,icit[c],icit_c,MNXM89661,C00311,cpd00260,14465;16087;24884;24886;30887;36453;36454;5998,"Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;Other carbon fixation pathways;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;Glucagon signaling pathway;Central carbon metabolism in cancer","Citrate cycle (TCA cycle, Krebs cycle);Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate;Glyoxylate cycle;Reductive citrate cycle (Arnon-Buchanan cycle);Methylaspartate cycle"
2dmmql8[c],6932.0,6029.0,0.5348352750559371,0.33301936771157475,0.8389070440347091,Rv3208,"{'mqn8[c]', 'mql8[c]', '2dmmq8[c]'}",2-Demethylmenaquinol 8 [cytoplasm],c,C50H72O2,2dmmql8[c],2dmmql8_c,MNXM558,,cpd15353,61873,,
hco3[c],6216.0,6745.0,0.47959262402592395,0.6000959905585371,0.8389070440347091,Rv3208,set(),Bicarbonate [cytoplasm],c,CHO3,hco3[c],hco3_c,MNXM60,C00288;C01353,cpd00242,13351;13363;17544;22863;23017;23744;28976;29201;3401;40961;41605;41609;5589,Arginine biosynthesis;Purine metabolism;Other carbon fixation pathways;Atrazine degradation;Nitrogen metabolism;Metabolic pathways;Microbial metabolism in diverse environments;ABC transporters;cAMP signaling pathway;Meiosis - yeast;Proximal tubule bicarbonate reclamation;Collecting duct acid secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Mineral absorption;Proximal tubule bicarbonate reclamation;Collecting duct acid secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion,;
fe2[c],7232.0,5729.0,0.5579816372193503,0.23616896248116903,0.8389070440347091,Rv3208,set(),Fe2+ mitochondria [cytoplasm],c,Fe,fe2[c],fe2_c,MNXM111,C14818,cpd10515,13319;13321;21129;24876;29033;34754;49599,Porphyrin metabolism;ABC transporters;HIF-1 signaling pathway;Hormone signaling;Ferroptosis;Mineral absorption;Alzheimer disease,
btn[c],5228.5,7732.5,0.40340251523802173,0.8848085326554148,0.943147556786541,Rv3208,set(),Biotin [cytoplasm],c,C10H15N2O3S,btn[c],btn_c,MNXM304,C00120,cpd00104,13905;15956;22882;22884;3108;41236;57586,Biotin metabolism;Metabolic pathways;Biosynthesis of cofactors;ABC transporters;Vitamin digestion and absorption,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin;Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin;Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin;Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin"
